#    L    TT             EE             BB             TE          
   260    0.56577E+04    0.38785E+01    0.28468E-01    0.89476E+02
   261    0.56313E+04    0.39994E+01    0.28668E-01    0.91048E+02
   262    0.56044E+04    0.41228E+01    0.28867E-01    0.92609E+02
   263    0.55773E+04    0.42487E+01    0.29066E-01    0.94150E+02
   264    0.55495E+04    0.43770E+01    0.29265E-01    0.95665E+02
   265    0.55212E+04    0.45077E+01    0.29464E-01    0.97146E+02
   266    0.54926E+04    0.46410E+01    0.29662E-01    0.98614E+02
   267    0.54635E+04    0.47765E+01    0.29859E-01    0.10005E+03
   268    0.54339E+04    0.49146E+01    0.30056E-01    0.10146E+03
   269    0.54038E+04    0.50550E+01    0.30252E-01    0.10285E+03
   270    0.53734E+04    0.51977E+01    0.30448E-01    0.10421E+03
   271    0.53426E+04    0.53428E+01    0.30644E-01    0.10554E+03
   272    0.53115E+04    0.54904E+01    0.30839E-01    0.10684E+03
   273    0.52800E+04    0.56399E+01    0.31033E-01    0.10812E+03
   274    0.52481E+04    0.57920E+01    0.31227E-01    0.10936E+03
   275    0.52159E+04    0.59462E+01    0.31420E-01    0.11058E+03
   276    0.51834E+04    0.61025E+01    0.31613E-01    0.11175E+03
   277    0.51504E+04    0.62611E+01    0.31805E-01    0.11291E+03
   278    0.51173E+04    0.64218E+01    0.31996E-01    0.11402E+03
   279    0.50838E+04    0.65847E+01    0.32187E-01    0.11510E+03
   280    0.50500E+04    0.67495E+01    0.32377E-01    0.11615E+03
   281    0.50160E+04    0.69165E+01    0.32566E-01    0.11717E+03
   282    0.49816E+04    0.70853E+01    0.32755E-01    0.11815E+03
   283    0.49470E+04    0.72562E+01    0.32943E-01    0.11909E+03
   284    0.49122E+04    0.74290E+01    0.33130E-01    0.12001E+03
   285    0.48771E+04    0.76037E+01    0.33317E-01    0.12088E+03
   286    0.48418E+04    0.77803E+01    0.33503E-01    0.12171E+03
   287    0.48062E+04    0.79586E+01    0.33688E-01    0.12252E+03
   288    0.47705E+04    0.81387E+01    0.33872E-01    0.12328E+03
   289    0.47346E+04    0.83204E+01    0.34056E-01    0.12401E+03
   290    0.46985E+04    0.85037E+01    0.34239E-01    0.12470E+03
   291    0.46623E+04    0.86893E+01    0.34421E-01    0.12534E+03
   292    0.46257E+04    0.88759E+01    0.34602E-01    0.12596E+03
   293    0.45892E+04    0.90634E+01    0.34783E-01    0.12652E+03
   294    0.45524E+04    0.92530E+01    0.34963E-01    0.12706E+03
   295    0.45157E+04    0.94434E+01    0.35142E-01    0.12754E+03
   296    0.44788E+04    0.96360E+01    0.35321E-01    0.12800E+03
   297    0.44417E+04    0.98286E+01    0.35498E-01    0.12841E+03
   298    0.44045E+04    0.10023E+02    0.35675E-01    0.12878E+03
   299    0.43674E+04    0.10219E+02    0.35851E-01    0.12911E+03
   300    0.43301E+04    0.10416E+02    0.36026E-01    0.12939E+03
   301    0.42927E+04    0.10613E+02    0.36201E-01    0.12964E+03
   302    0.42554E+04    0.10811E+02    0.36374E-01    0.12985E+03
   303    0.42181E+04    0.11011E+02    0.36547E-01    0.13002E+03
   304    0.41807E+04    0.11212E+02    0.36719E-01    0.13013E+03
   305    0.41434E+04    0.11413E+02    0.36891E-01    0.13021E+03
   306    0.41060E+04    0.11614E+02    0.37061E-01    0.13025E+03
   307    0.40687E+04    0.11816E+02    0.37231E-01    0.13023E+03
   308    0.40314E+04    0.12020E+02    0.37400E-01    0.13019E+03
   309    0.39942E+04    0.12223E+02    0.37568E-01    0.13010E+03
   310    0.39570E+04    0.12426E+02    0.37736E-01    0.12997E+03
   311    0.39199E+04    0.12631E+02    0.37902E-01    0.12979E+03
   312    0.38829E+04    0.12836E+02    0.38068E-01    0.12957E+03
   313    0.38460E+04    0.13040E+02    0.38233E-01    0.12931E+03
   314    0.38092E+04    0.13245E+02    0.38398E-01    0.12901E+03
   315    0.37725E+04    0.13450E+02    0.38562E-01    0.12866E+03
   316    0.37359E+04    0.13654E+02    0.38725E-01    0.12827E+03
   317    0.36994E+04    0.13858E+02    0.38887E-01    0.12784E+03
   318    0.36631E+04    0.14063E+02    0.39048E-01    0.12737E+03
   319    0.36270E+04    0.14267E+02    0.39209E-01    0.12685E+03
   320    0.35910E+04    0.14471E+02    0.39370E-01    0.12630E+03
   321    0.35552E+04    0.14675E+02    0.39529E-01    0.12571E+03
   322    0.35196E+04    0.14877E+02    0.39688E-01    0.12507E+03
