#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   148    0.47676E+04   -0.50709E+02    0.17159E-05   -0.50709E+02    0.12108E+01   -0.82377E-08    0.17159E-05   -0.82377E-08    0.34592E-11
   149    0.48041E+04   -0.50764E+02    0.16897E-05   -0.50764E+02    0.12054E+01   -0.81125E-08    0.16897E-05   -0.81125E-08    0.33939E-11
   150    0.48404E+04   -0.50791E+02    0.16640E-05   -0.50791E+02    0.11996E+01   -0.79878E-08    0.16640E-05   -0.79878E-08    0.33301E-11
   151    0.48765E+04   -0.50792E+02    0.16389E-05   -0.50792E+02    0.11932E+01   -0.78637E-08    0.16389E-05   -0.78637E-08    0.32678E-11
   152    0.49122E+04   -0.50765E+02    0.16142E-05   -0.50765E+02    0.11863E+01   -0.77400E-08    0.16142E-05   -0.77400E-08    0.32070E-11
   153    0.49478E+04   -0.50709E+02    0.15900E-05   -0.50709E+02    0.11789E+01   -0.76169E-08    0.15900E-05   -0.76169E-08    0.31476E-11
   154    0.49831E+04   -0.50625E+02    0.15663E-05   -0.50625E+02    0.11711E+01   -0.74943E-08    0.15663E-05   -0.74943E-08    0.30896E-11
   155    0.50182E+04   -0.50513E+02    0.15430E-05   -0.50513E+02    0.11630E+01   -0.73723E-08    0.15430E-05   -0.73723E-08    0.30330E-11
   156    0.50528E+04   -0.50373E+02    0.15202E-05   -0.50373E+02    0.11544E+01   -0.72508E-08    0.15202E-05   -0.72508E-08    0.29778E-11
   157    0.50873E+04   -0.50203E+02    0.14978E-05   -0.50203E+02    0.11454E+01   -0.71298E-08    0.14978E-05   -0.71298E-08    0.29238E-11
   158    0.51215E+04   -0.50004E+02    0.14758E-05   -0.50004E+02    0.11361E+01   -0.70094E-08    0.14758E-05   -0.70094E-08    0.28711E-11
   159    0.51553E+04   -0.49775E+02    0.14542E-05   -0.49775E+02    0.11263E+01   -0.68895E-08    0.14542E-05   -0.68895E-08    0.28197E-11
   160    0.51888E+04   -0.49516E+02    0.14331E-05   -0.49516E+02    0.11162E+01   -0.67702E-08    0.14331E-05   -0.67702E-08    0.27694E-11
   161    0.52221E+04   -0.49227E+02    0.14123E-05   -0.49227E+02    0.11058E+01   -0.66515E-08    0.14123E-05   -0.66515E-08    0.27203E-11
   162    0.52549E+04   -0.48909E+02    0.13919E-05   -0.48909E+02    0.10951E+01   -0.65333E-08    0.13919E-05   -0.65333E-08    0.26723E-11
   163    0.52876E+04   -0.48560E+02    0.13719E-05   -0.48560E+02    0.10840E+01   -0.64157E-08    0.13719E-05   -0.64157E-08    0.26254E-11
   164    0.53197E+04   -0.48182E+02    0.13522E-05   -0.48182E+02    0.10727E+01   -0.62987E-08    0.13522E-05   -0.62987E-08    0.25795E-11
   165    0.53516E+04   -0.47772E+02    0.13329E-05   -0.47772E+02    0.10612E+01   -0.61823E-08    0.13329E-05   -0.61823E-08    0.25347E-11
   166    0.53831E+04   -0.47331E+02    0.13140E-05   -0.47331E+02    0.10495E+01   -0.60664E-08    0.13140E-05   -0.60664E-08    0.24908E-11
   167    0.54143E+04   -0.46861E+02    0.12953E-05   -0.46861E+02    0.10374E+01   -0.59512E-08    0.12953E-05   -0.59512E-08    0.24479E-11
   168    0.54449E+04   -0.46359E+02    0.12770E-05   -0.46359E+02    0.10253E+01   -0.58365E-08    0.12770E-05   -0.58365E-08    0.24060E-11
   169    0.54752E+04   -0.45825E+02    0.12590E-05   -0.45825E+02    0.10129E+01   -0.57225E-08    0.12590E-05   -0.57225E-08    0.23649E-11
   170    0.55051E+04   -0.45262E+02    0.12413E-05   -0.45262E+02    0.10005E+01   -0.56090E-08    0.12413E-05   -0.56090E-08    0.23248E-11
   171    0.55344E+04   -0.44666E+02    0.12239E-05   -0.44666E+02    0.98804E+00   -0.54962E-08    0.12239E-05   -0.54962E-08    0.22855E-11
   172    0.55633E+04   -0.44039E+02    0.12069E-05   -0.44039E+02    0.97546E+00   -0.53839E-08    0.12069E-05   -0.53839E-08    0.22471E-11
   173    0.55917E+04   -0.43381E+02    0.11901E-05   -0.43381E+02    0.96277E+00   -0.52723E-08    0.11901E-05   -0.52723E-08    0.22095E-11
   174    0.56196E+04   -0.42692E+02    0.11736E-05   -0.42692E+02    0.95026E+00   -0.51613E-08    0.11736E-05   -0.51613E-08    0.21727E-11
   175    0.56472E+04   -0.41972E+02    0.11574E-05   -0.41972E+02    0.93765E+00   -0.50509E-08    0.11574E-05   -0.50509E-08    0.21367E-11
   176    0.56741E+04   -0.41221E+02    0.11414E-05   -0.41221E+02    0.92516E+00   -0.49412E-08    0.11414E-05   -0.49412E-08    0.21015E-11
