#    L    TT             EE             TE             PP             TP          
   273    0.48279E+04    0.49614E+01    0.98057E+02    0.15201E+07    0.12327E+04
   274    0.48000E+04    0.50968E+01    0.99209E+02    0.15136E+07    0.12218E+04
   275    0.47717E+04    0.52341E+01    0.10035E+03    0.15071E+07    0.12110E+04
   276    0.47431E+04    0.53734E+01    0.10145E+03    0.15007E+07    0.12003E+04
   277    0.47142E+04    0.55148E+01    0.10253E+03    0.14943E+07    0.11897E+04
   278    0.46850E+04    0.56582E+01    0.10358E+03    0.14880E+07    0.11791E+04
   279    0.46555E+04    0.58035E+01    0.10459E+03    0.14817E+07    0.11687E+04
   280    0.46257E+04    0.59507E+01    0.10559E+03    0.14755E+07    0.11583E+04
   281    0.45957E+04    0.60999E+01    0.10656E+03    0.14693E+07    0.11479E+04
   282    0.45654E+04    0.62508E+01    0.10749E+03    0.14631E+07    0.11377E+04
   283    0.45348E+04    0.64037E+01    0.10839E+03    0.14570E+07    0.11275E+04
   284    0.45041E+04    0.65583E+01    0.10927E+03    0.14509E+07    0.11174E+04
   285    0.44731E+04    0.67148E+01    0.11011E+03    0.14449E+07    0.11073E+04
   286    0.44418E+04    0.68730E+01    0.11091E+03    0.14389E+07    0.10974E+04
   287    0.44103E+04    0.70329E+01    0.11170E+03    0.14329E+07    0.10875E+04
   288    0.43786E+04    0.71944E+01    0.11244E+03    0.14270E+07    0.10776E+04
   289    0.43467E+04    0.73576E+01    0.11316E+03    0.14211E+07    0.10679E+04
   290    0.43147E+04    0.75223E+01    0.11384E+03    0.14153E+07    0.10582E+04
   291    0.42825E+04    0.76891E+01    0.11448E+03    0.14095E+07    0.10486E+04
   292    0.42498E+04    0.78571E+01    0.11510E+03    0.14037E+07    0.10390E+04
   293    0.42174E+04    0.80257E+01    0.11567E+03    0.13980E+07    0.10295E+04
   294    0.41846E+04    0.81966E+01    0.11622E+03    0.13923E+07    0.10201E+04
   295    0.41519E+04    0.83682E+01    0.11673E+03    0.13866E+07    0.10108E+04
   296    0.41189E+04    0.85420E+01    0.11721E+03    0.13810E+07    0.10015E+04
   297    0.40859E+04    0.87157E+01    0.11765E+03    0.13754E+07    0.99229E+03
   298    0.40526E+04    0.88917E+01    0.11805E+03    0.13698E+07    0.98314E+03
   299    0.40194E+04    0.90691E+01    0.11842E+03    0.13643E+07    0.97406E+03
   300    0.39860E+04    0.92465E+01    0.11875E+03    0.13588E+07    0.96505E+03
   301    0.39525E+04    0.94254E+01    0.11904E+03    0.13533E+07    0.95610E+03
   302    0.39191E+04    0.96049E+01    0.11931E+03    0.13479E+07    0.94722E+03
   303    0.38856E+04    0.97859E+01    0.11953E+03    0.13425E+07    0.93840E+03
   304    0.38520E+04    0.99684E+01    0.11971E+03    0.13372E+07    0.92965E+03
   305    0.38184E+04    0.10151E+02    0.11986E+03    0.13319E+07    0.92096E+03
   306    0.37848E+04    0.10334E+02    0.11997E+03    0.13266E+07    0.91234E+03
   307    0.37512E+04    0.10518E+02    0.12004E+03    0.13213E+07    0.90378E+03
   308    0.37175E+04    0.10704E+02    0.12008E+03    0.13161E+07    0.89529E+03
   309    0.36840E+04    0.10889E+02    0.12007E+03    0.13109E+07    0.88686E+03
   310    0.36504E+04    0.11074E+02    0.12003E+03    0.13058E+07    0.87850E+03
   311    0.36169E+04    0.11262E+02    0.11995E+03    0.13006E+07    0.87020E+03
   312    0.35834E+04    0.11449E+02    0.11984E+03    0.12956E+07    0.86197E+03
   313    0.35500E+04    0.11636E+02    0.11968E+03    0.12905E+07    0.85379E+03
   314    0.35166E+04    0.11824E+02    0.11949E+03    0.12854E+07    0.84569E+03
   315    0.34834E+04    0.12011E+02    0.11926E+03    0.12804E+07    0.83765E+03
   316    0.34502E+04    0.12199E+02    0.11899E+03    0.12755E+07    0.82967E+03
   317    0.34170E+04    0.12387E+02    0.11869E+03    0.12705E+07    0.82176E+03
   318    0.33840E+04    0.12575E+02    0.11834E+03    0.12656E+07    0.81391E+03
   319    0.33511E+04    0.12763E+02    0.11796E+03    0.12607E+07    0.80612E+03
   320    0.33183E+04    0.12951E+02    0.11755E+03    0.12558E+07    0.79840E+03
